fichier,age,classe_age,phoneme,left,right,duration,COG,spectral_tilt,f0,harmonicity,CPP
labise_1235,22,young,ʁ,y,ɑ̃,50,511.48286000940845,-23.811706984176062,214.07547947016553,4.50620283162214,5.6375492288128575
labise_1235,22,young,ɑ̃,ʁ,c,110,671.0075773567908,-26.347446465054205,219.76214867702112,5.459727425185474,4.949879887847685
labise_1235,22,young,c,ɑ̃,i,90,670.7276758649672,-15.286965376718193,238.359955612818,-2.4042400054413933,6.059113140986002
labise_1235,22,young,i,c,l,60,374.15108915468693,-16.94801586613273,224.29718012261864,4.106275174767804,5.795113136459941
labise_1235,22,young,l,i,e,10,316.9777952948878,-21.70520139392778,210.72464586512822,4.019397618253066,7.494880281957695
labise_1235,22,young,e,l,t,80,424.6774742877466,-16.81529502789543,213.4268677802332,5.69917174049547,9.040084409812891
labise_1235,22,young,t,e,ɛ,70,413.3860207082455,-25.23639306999382,207.03274006030946,6.0441707287699025,4.303566368772245
labise_1235,22,young,ɛ,t,l,80,470.1323085506752,-15.515043924573256,223.37829970356321,5.420228208611745,7.2869938365720515
labise_1235,22,young,l,ɛ,ə,10,348.0295699216139,-22.38420745587098,210.4906143364714,2.341902386857971,5.005665907498929
labise_1235,22,young,ə,l,p,50,428.9147331930356,-25.26983926275212,210.3286680558814,7.250222561862096,5.688900111709687
labise_1235,22,young,p,ə,l,120,453.50524264611215,-20.338816385253974,209.85206516341765,8.205039834936578,3.914033829947814
labise_1235,22,young,l,p,y,10,2215.335626366135,5.213658564357013,229.09327245645116,-1.3548846446943812,4.80567094055605
labise_1235,22,young,y,l,f,40,359.62232932132093,-19.973040550123336,219.85261720248263,4.686268367441602,4.878198785958598
labise_1235,22,young,f,y,ɔ,110,2368.378001155739,1.172873651868722,211.5191928305673,-1.6000139442441517,5.259136239500222
labise_1235,22,young,ɔ,f,ʁ,130,647.5629353365022,-21.83796207385264,199.86862957603856,4.1476969001914945,4.958789139365377
labise_1235,22,young,ʁ,ɔ,_,160,1100.3097518604093,-9.69471383795063,100.32212042311691,-2.7263294297734824,4.013023144239731
labise_1235,22,young,_,ʁ,k,820,977.0953625374327,-9.142873415171843,174.71109479960884,-5.719855150062162,3.2434850611724557
labise_1235,22,young,k,_,ɑ̃,70,1111.515309577459,-8.733893220558208,242.26842867213725,-2.342726570883549,3.5613258678590602
labise_1235,22,young,ɑ̃,k,t,90,568.2278297140848,-26.979071025670187,237.2018496422338,7.126265803674521,7.0087996409464814
labise_1235,22,young,t,ɑ̃,i,80,2156.078849525671,-2.383069582526711,241.35108704020914,5.352266352018008,7.629200746578155
labise_1235,22,young,i,t,l,90,403.83244249227,-16.021708964344253,234.446726605427,6.581013438686304,8.974852474200189
labise_1235,22,young,l,i,ɔ̃,80,480.4155815345275,-15.253628088994402,212.72200687284032,10.625123560101184,4.821671110973012
